"Area_Name","Citywide_Diversity_Index","Tracts_Diversity_Index"
"Quebec",0.0416303737257963,0.043079482745786
"Hamilton",0.232255642278976,0.206173330692232
"Kitchener",0.267204776600994,0.23497944043728
"Ottawa",0.281181473219845,0.248333996460304
"Montreal",0.285848897861303,0.256642385723942
"Winnipeg",0.326857811021814,0.25587710253656
"Edmonton",0.360803237425633,0.308161725925211
"Calgary",0.434500222913187,0.364063039840267
"Vancouver",0.598642619762558,0.459898367267969
"Toronto",0.643956354553944,0.502377757187892
