Ethnicity,Group
English/Welsh/Scottish/Northern_Irish/British,White
Irish,White
Gypsy_or_Irish_Traveller,White
Other_White,White
White_and_Black_Caribbean,Other
White_and_Black_African,Other
White_and_Asian,Other
Other_Mixed,Other
Indian_or_British_Indian,South Asian
Pakistani_or_British_Pakistani,South Asian
"Bangladeshi,_British_Bangladeshi",South Asian
Chinese,East Asian
Other_Asian,Other
African,Black
Caribbean,Black
Other_Black,Black
Arab,White
Any_other_ethnic_group,Other
Afghan,Other
African/Arab,Other
Albanian,White
Anglo_Indian,Other
Argentinian,Other
Australian/New_Zealander,White
Baltic_States,White
Black_and_Asian,Other
Black_and_Chinese,Other
Black_and_White,Other
Black_British,Black
Black_European,Black
Black/African_American,Black
Bosnian,White
Brazilian,Other
British_Asian,Other
Burmese,East Asian
Cambodia,East Asian
Caribbean_Asian,Other
Chilean,Other
Chinese_and_White,Other
Colombian,Other
Commonwealth_of_(Russian)_Independent_States,White
Croatian,White
Cuban,Other
Cypriot,White
East_African_Asian,Other
Ecuadorian,Other
European_Mixed,White
Filipino,East Asian
Greek,White
Greek_Cypriot,White
Indonesian,East Asian
Iranian,Other
Israeli,Other
Italian,White
Japanese,East Asian
Kashmiri,South Asian
Korean,East Asian
Kosovan,White
Kurdish,Other
Latin/South/Central_American,Other
Malaysian,East Asian
Mexican,Other
Moroccan,White
Multi-ethnic_islands,Other
Nepalese_(includes_Gurkha),South Asian
Nigerian,Black
North_African,Black
North_American,White
Other_Eastern_European,White
Other_Middle_East,White
Other_Western_European,White
Peruvian,Other
Polish,White
Polynesia/Micronesia/Melanesia,East Asian
Punjabi,South Asian
Serbian,White
Sinhalese,South Asian
Somali,Black
Somalilander,Black
South_Asian_and_Chinese,Other
Sri_Lankan,South Asian
Taiwanese,East Asian
Tamil,South Asian
Thai,East Asian
Turkish,Other
Turkish_Cypriot,White
Venezuelan,Other
Vietnamese,East Asian
White_African,White
White_and_Arab,White
White_and_East_Asian,Other
White_and_North_African_or_Middle_Eastern,White
White_and_South_Asian,Other
White_Caribbean,White
